"gene_id","CD0-ND0","CD3-ND3","CD4-ND4"
"ATU_RS01715","None","None","None"
"ATU_RS01720","None","None","None"
"ATU_RS01725","None","None","None"
"ATU_RS01730","None","None","None"
"ATU_RS01735","None","Down","None"
"ATU_RS01740","None","None","None"
"ATU_RS01745","None","None","None"
"ATU_RS01750","None","None","None"
"ATU_RS01755","None","Up","Up"
"ATU_RS01760","None","None","None"
"ATU_RS01765","None","Up","None"
"ATU_RS01770","None","Up","Up"
"ATU_RS01775","None","None","None"
"ATU_RS01780","None","None","None"
"ATU_RS01785","None","Down","None"
"ATU_RS01790","None","None","None"
"ATU_RS01795","None","Down","Down"
"ATU_RS01800","None","Down","Down"
"ATU_RS01805","None","None","Down"
"ATU_RS01810","None","Down","Down"
"ATU_RS01815","None","Up","Up"
"ATU_RS01820","None","None","None"
"ATU_RS01825","None","None","None"
"ATU_RS01830","None","Down","None"
"ATU_RS01835","None","Up","Up"
"ATU_RS01840","None","None","None"
"ATU_RS01845","None","Down","None"
"ATU_RS01850","None","Down","Down"
"ATU_RS01855","None","Down","Down"
"ATU_RS01860","None","None","None"
"ATU_RS01865","None","None","None"
"ATU_RS01870","None","None","None"
"ATU_RS01875","None","None","None"
"ATU_RS01880","None","Up","None"
"ATU_RS01885","None","Up","None"
"ATU_RS01890","None","None","Down"
"ATU_RS01895","None","None","None"
"ATU_RS01900","None","None","None"
"ATU_RS01905","None","Down","None"
"ATU_RS01910","None","None","None"
"ATU_RS01915","None","None","None"
"ATU_RS01920","None","Down","None"
"ATU_RS01925","None","Down","Down"
"ATU_RS01930","None","Down","None"
"ATU_RS01935","None","Up","Up"
"ATU_RS01940","None","None","None"
"ATU_RS01945","None","Down","Down"
"ATU_RS01950","None","Up","Up"
"ATU_RS01955","None","None","None"
"ATU_RS01960","None","None","Up"
"ATU_RS01965","None","Up","None"
"ATU_RS01970","None","Up","Up"
"ATU_RS01975","None","Up","Up"
"ATU_RS01980","None","None","None"
"ATU_RS01985","None","Down","Down"
"ATU_RS01990","None","None","None"
"ATU_RS01995","None","None","None"
"ATU_RS02000","None","None","None"
"ATU_RS02005","None","None","None"
"ATU_RS02010","None","Down","Down"
"ATU_RS02015","None","None","None"
"ATU_RS02020","None","Down","Down"
"ATU_RS02025","None","Down","Down"
"ATU_RS02030","None","None","Down"
"ATU_RS02035","None","Down","Down"
"ATU_RS02040","None","None","Down"
"ATU_RS02045","None","None","Down"
"ATU_RS02050","None","Down","None"
"ATU_RS02055","None","Down","Down"
"ATU_RS02060","None","Down","Down"
"ATU_RS02065","None","Down","Down"
"ATU_RS02070","None","None","None"
"ATU_RS02075","None","Down","Down"
"ATU_RS02085","None","None","Down"
