Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atu1492	ATU_RS07355	Atu1492	53.2852940184403	-2.2758152734997	0.357578492175922	-6.3645194643867	1.95902079149681e-10	7.48798024072898e-08
zur	ATU_RS07495	Atu1518	39.0769661211349	-1.48268413625063	0.361470967803175	-4.10180697294054	4.09936192123649e-05	0.00201680488976477
znuB	ATU_RS07500	Atu1519	44.2852322204417	-2.13552920939474	0.38987892631335	-5.47741635996606	4.31580891219338e-08	6.49856196505724e-06
znuC	ATU_RS07505	Atu1520	328.10001843754	-2.95880727385143	0.462237886875481	-6.40104880595493	1.54313231493306e-10	6.38985372741864e-08
znuA	ATU_RS07510	Atu1521	70.0584876414195	-2.70971424323259	0.392291963427468	-6.90739167725417	4.93645622586887e-12	4.08820849772373e-09
Atu1533	ATU_RS07570	Atu1533	37.0337142792148	-2.24307797157611	0.649954124786799	-3.45113275850337	0.00055823890052364	0.012551534374217
Atu1559	ATU_RS07685	Atu1559	12.2254549840316	-1.87549938540971	0.508544107032024	-3.68797781642882	0.000226043351810048	0.00676632177797669
Atu1578	ATU_RS07770	Atu1578	48.7370792912234	-1.49857181971948	0.517637107493769	-2.89502394249723	0.0037912961397912	0.045409923387912
Atu1649	ATU_RS08100	Atu1649	77.5115573591897	-2.80268135352228	0.668436064736237	-4.19289368329971	2.75418541060058e-05	0.00153770194441284
Atu1650	ATU_RS08105	Atu1650	90.6832465030457	-1.67124499719075	0.429006632378184	-3.89561575756129	9.79495671633137e-05	0.00395700324580899
sthA	ATU_RS08145	Atu1661	117.581874313959	-1.10184528420814	0.261238440008457	-4.2177762360412	2.46723474818812e-05	0.00140915970847664
Atu1662	ATU_RS08150	Atu1662	44.7981802742974	-1.91838351081644	0.48011930717963	-3.99563917161678	6.45199407662405e-05	0.0028882845555626
coaD	ATU_RS08245	Atu1681	22.4798947850939	-1.28510186743001	0.335734868525329	-3.82772832942448	0.000129331390548768	0.00479587820624499
Atu1716	ATU_RS08405	Atu1716	16.0183191948466	-2.17055438461512	0.683251043818518	-3.17680361303868	0.00148907833453969	0.0253398296038621
