GeneID	old	Name
ATU_RS03000	Atu0609	potF
ATU_RS03005	Atu0610	potG
ATU_RS03010	Atu0611	potB
ATU_RS03015	Atu0612	Atu0612
ATU_RS03020	Atu0613	Atu0613
ATU_RS03025	Atu0614	Atu0614
ATU_RS03030	Atu0616	Atu0616
ATU_RS03035	Atu0619	Atu0619
ATU_RS03040	Atu0620	ftsJ
ATU_RS03045	Atu0621	Atu0621
ATU_RS03050	Atu0622	Atu0622
ATU_RS03055	Atu0624	guaB
ATU_RS03060	Atu8134	Atu8134
ATU_RS03065	Atu0626	adhP
ATU_RS03070	Atu0627	dlhH
ATU_RS03075	Atu0628	Atu0628
ATU_RS03080	Atu0629	Atu0629
ATU_RS03085	Atu0630	Atu0630
ATU_RS03090	Atu0631	moaB
ATU_RS03095	Atu0632	ipk
ATU_RS03100	Atu0633	Atu0633
ATU_RS03105	Atu0634	ispB
ATU_RS03110	Atu0635	Atu0635
ATU_RS03115	Atu0636	Atu0636
ATU_RS03120	Atu0637	sohB
ATU_RS03125	Atu0638	Atu0638
ATU_RS03130	Atu0639	glyQ
ATU_RS03140	Atu0641	Atu0641
ATU_RS03145	Atu0642	aroA
ATU_RS03150	Atu0643	Atu0643
ATU_RS03155	Atu0644	glyS
ATU_RS03160	Atu0645	Atu0645
ATU_RS03165	Atu0646	mcpA
ATU_RS03170	Atu8084	Atu8084
ATU_RS03175	Atu0647	purD
ATU_RS03180	Atu0648	Atu0648
ATU_RS03185	Atu0649	cfa
ATU_RS03190	Atu0650	Atu0650
ATU_RS03195	Atu0651	ubiA
ATU_RS03200	Atu0652	Atu0652
ATU_RS03205	Atu0653	Atu0653
ATU_RS03210	Atu0654	Atu0654
ATU_RS03215	Atu8135	Atu8135
ATU_RS03220	Atu0656	gsh1
ATU_RS03225	Atu0657	Atu0657
ATU_RS03230	Atu0658	pit
ATU_RS03235	Atu0659	Atu0659
ATU_RS03240	Atu0660	Atu0660
ATU_RS03245	Atu0661	Atu0661
ATU_RS03250	Atu0662	Atu0662
ATU_RS03255	Atu0663	Atu0663
ATU_RS03260	Atu0664	Atu0664
ATU_RS03265	Atu0665	glcD
ATU_RS03270	Atu0666	glcE
ATU_RS03275	Atu0667	glcF
ATU_RS03280	Atu0668	Atu0668
ATU_RS03285	Atu0669	Atu0669
ATU_RS03290	Atu0670	tag
ATU_RS03295	Atu8085	Atu8085
ATU_RS03300	Atu0671	Atu0671
ATU_RS03305	Atu0672	Atu0672
ATU_RS03310	Atu0673	Atu0673
ATU_RS03315	Atu0674	Atu0674
ATU_RS03320	Atu0675	Atu0675
ATU_RS03325	Atu0676	hisS-1
ATU_RS03330	Atu0677	Atu0677
ATU_RS03335	Atu0678	hisS-2
ATU_RS03340	Atu0679	hisG
ATU_RS03345	Atu0680	Atu0680
ATU_RS03350	Atu0681	Atu0681
ATU_RS03355	Atu0682	groEL
ATU_RS03360	Atu0683	groES
ATU_RS03365	Atu0684	Atu0684
ATU_RS03370	Atu0685	ribF
ATU_RS03375	Atu0686	ileS
ATU_RS03380	Atu0687	Atu0687
ATU_RS03385	Atu0688	codA
ATU_RS03390	Atu0689	rluB
ATU_RS03395	Atu0690	Atu0690
ATU_RS03400	Atu0691	Atu0691
ATU_RS03405	Atu0692	kefB
ATU_RS03410	Atu0693	Atu0693
ATU_RS03415	Atu0694	Atu0694
ATU_RS03420	Atu8086	Atu8086
ATU_RS03425	Atu0695	kdtA
ATU_RS03430	Atu0696	Atu0696
ATU_RS03435	Atu0697	lpxK
ATU_RS03440	Atu0698	Atu0698
ATU_RS03445	Atu0699	mutL
ATU_RS03450	Atu0700	Atu0700
ATU_RS03455	Atu0701	Atu0701
ATU_RS03460	Atu0702	Atu0702
ATU_RS03465	Atu0703	kdgA
ATU_RS03470	Atu0704	dgoK
ATU_RS03475	Atu0705	fabG
ATU_RS03480	Atu0706	kdgR
ATU_RS03485	Atu0707	Atu0707
ATU_RS03490	Atu0708	nrt
ATU_RS03495	Atu0709	Atu0709
ATU_RS03500	Atu0710	corA
ATU_RS03505	Atu0711	Atu0711
ATU_RS03510	Atu0712	Atu0712
ATU_RS03515	Atu0713	atpI
ATU_RS03520	Atu0714	atpA
ATU_RS03525	Atu0715	atpC
ATU_RS03530	Atu0716	atpB
ATU_RS03535	Atu0717	atpF
ATU_RS03540	Atu0718	Atu0718
ATU_RS03545	Atu0719	Atu0719
ATU_RS03550	Atu0720	rnhB
ATU_RS03555	Atu0721	Atu0721
ATU_RS03560	Atu0722	Atu0722
ATU_RS03565	Atu0723	Atu0723
ATU_RS03570	Atu0724	Atu0724
