gene_id,CD0_1_fpkm,CD0_2_fpkm,CD0_3_fpkm,CD3_1_fpkm,CD3_2_fpkm,CD3_3_fpkm,CD4_1_fpkm,CD4_2_fpkm,CD4_3_fpkm,ND0_1_fpkm,ND0_2_fpkm,ND0_3_fpkm,ND3_1_fpkm,ND3_2_fpkm,ND4_1_fpkm,ND4_2_fpkm,ND4_3_fpkm
Atu1033,55.37238135,17.15624712,36.91947968,36.36011099,42.74304673,54.32868122,58.41809748,37.02639232,39.124796,34.6663749,41.08023644,40.24712388,35.6370899,29.68189822,31.46129259,34.54924306,22.45428035
Atu1032,340.5346061,208.7526008,287.2976349,95.86374419,305.6238574,210.7379604,313.8975257,247.4821041,228.059044,220.6613552,278.6034058,269.3907388,233.6458355,289.629196,329.3349362,497.7881665,220.365017
Atu2038,1.216948398,4.025608095,2.886921197,8.466048608,5.750185658,7.474900086,4.286692844,7.471693518,4.386187893,3.688513595,2.234623897,3.763676136,14.38268202,4.242648008,3.659315141,2.801177819,4.43959477
Atu6026,1.249157619,1.818148061,2.62876042,3.186377788,2.705256122,0,3.025102861,2.343442552,4.952505823,0.35903035,0.203479432,0.559160412,3.383268028,2.254321384,1.742318419,4.217131839,1.937941342
Atu1037,7.666642678,5.364804414,5.212486299,3.008651537,7.663096027,1.328209338,0,2.212732609,9.352540877,6.271587925,4.611119559,4.927740364,6.5412416,5.454492253,6.34552963,4.479652496,14.27282217
Atu1036,22.39234378,19.21215053,21.82540897,8.41751712,10.20932645,21.23442954,29.68261757,19.45654374,16.82117026,25.87934212,21.96217016,23.35296065,21.28010941,28.39394961,18.69266687,25.59658007,29.5468165
Atu2584,1.193751434,5.212513192,2.512162176,12.18018606,10.34105969,10.75421109,0,0,18.9313529,2.230186508,3.889082693,2.137435769,4.464900376,3.366142691,4.638320606,2.518801023,4.321296622
Atu2585,8.458581592,9.810694471,9.790254879,25.6218914,2.289806075,17.85967199,8.961867227,11.90134039,4.191942429,10.33238057,11.02277152,6.783813999,10.77294682,9.779125396,10.11255833,10.70850263,8.092289348
Atu2586,16.53847074,12.20658794,17.47604927,33.50998891,20.32157531,32.75688387,19.88369908,32.56679515,25.11179458,10.85540496,12.2281142,14.35119314,12.94940668,6.350326878,7.759371884,7.919653295,9.025708426
Atu2587,4.436085772,5.607151414,3.242828903,10.12453952,2.022541643,6.310041839,2.827087453,7.008149967,4.628327603,4.697408127,4.868100986,2.92633162,7.588339331,3.52882189,4.280026003,4.203828584,3.380698935
Atu2580,2.619914652,3.431955588,3.197782366,7.35122734,13.61725382,10.03091902,5.710216286,2.949004698,6.23226839,3.31324645,3.840899367,3.909174562,5.338805503,2.364044991,2.035935416,1.400423648,3.305819231
Atu8131,10.19289508,11.29288572,13.702515,24.05993588,15.155551,27.75315935,10.68424048,8.562115388,11.4599865,11.19377667,10.20994124,11.98545689,25.11496572,18.05165804,14.39887652,18.7034998,22.46896595
Atu2582,65.47937279,46.51197065,26.23997725,15.99186782,12.06862496,20.39504504,12.65204785,16.98858001,26.23662791,69.27342766,50.0401407,41.57522122,30.27655285,33.54927496,46.15094023,21.65497199,53.16981465
Atu8064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atu0740,124.0078477,93.8137308,117.589154,127.528968,131.6259386,90.52054502,59.35011409,136.0903824,124.3702125,70.43890143,74.09346418,85.12939544,47.28573186,45.77597383,40.23815981,59.01889972,35.48614445
